approximate_age,surface_area,gyrification_index,stage,iso_value,size,iter_outer,iter_inner,step_size,laplacian_weight,stretch_weight,self_weight,self_dist,oversample,taubin,comments
25,9500,1,0,10,20480,600,100,0.2,0.000002,200,0.5,0.005,0,10,Brains 23-25 clumped together
26,10000,1.02,0,10,20480,300,100,0.2,0.0002,150,0.5,0.005,0,10,
26,10000,1.02,1,10,20480,300,100,0.2,0.000002,150,0.5,0.005,0,10,
27,10000,1.05,0,10,20480,300,100,0.2,0.0002,100,0.5,0.005,0,10,
27,10000,1.05,1,10,20480,300,100,0.2,0.000002,100,0.5,0.005,0,10,
28,10000,1.07,0,10,20480,300,100,0.2,0.0002,50,0.5,0.005,0,10,
28,10000,1.07,1,10,20480,300,100,0.2,0.000002,50,0.5,0.005,0,10,
29,10000,1.12,0,10,20480,300,100,0.2,0.00001,50,0.5,0.005,0,10,
29,10000,1.12,1,10,20480,300,100,0.2,0.00005,50,0.5,0.005,0,10,
30,10000,1.17,0,10,20480,300,100,0.2,0.000002,100,0.5,0.005,0,10,
30,10000,1.17,1,10,20480,300,100,0.2,0.000002,50,0.5,0.005,0,10,
31,10000,1.2,0,10,20480,300,100,0.2,0.000002,100,0.5,0.005,0,10,
31,10000,1.2,1,10,20480,300,100,0.2,0.000002,50,0.5,0.005,0,10,
