approximate_age,surface_area,gyrification_index,stage,size,iter_outer,iter_inner,step_size,laplacian_weight,stretch_weight,self_weight,self_dist,oversample,taubin,comments
16,1800,1.02,0,20480,600,100,0.2,0.000002,300,0.5,0.005,0,10,
17,2000,1.02,0,20480,600,100,0.2,0.000002,300,0.5,0.005,0,10,
18,2200,1.02,0,20480,600,100,0.2,0.000002,300,0.5,0.005,0,10,
19,2400,1.02,0,20480,600,100,0.2,0.000002,300,0.5,0.005,0,10,
20,3000,1.02,0,20480,600,100,0.2,0.000002,300,0.5,0.005,0,10,
21,3500,1.02,0,20480,600,100,0.2,0.000002,300,0.5,0.005,0,10,
22,7000,1.02,0,20480,600,100,0.2,0.000002,300,0.5,0.005,0,10,"Brains 16-22 clumped together, large sw"
23,8500,1.02,0,20480,600,100,0.2,0.000002,200,0.5,0.005,0,10,
24,9000,1.02,0,20480,600,100,0.2,0.000002,200,0.5,0.005,0,10,
25,9500,1.02,0,20480,600,100,0.2,0.000002,200,0.5,0.005,0,10,Brains 23-25 clumped together
26,10000,1.02,0,20480,300,100,0.2,0.0002,200,0.5,0.005,0,10,
26,10000,1.02,1,20480,300,100,0.2,0.000002,200,0.5,0.005,0,10,
27,10000,1.05,0,20480,300,100,0.2,0.00001,200,0.5,0.005,0,10,
27,10000,1.05,1,20480,300,100,0.2,0.000002,200,0.5,0.005,0,10,
28,10000,1.07,0,20480,300,100,0.2,0.0002,200,0.5,0.005,0,10,
28,10000,1.07,1,20480,300,100,0.2,0.000002,200,0.5,0.005,0,10,
29,10000,1.12,0,20480,300,100,0.2,0.00001,100,0.5,0.005,0,10,
29,10000,1.12,1,20480,300,100,0.2,0.00005,100,0.5,0.005,0,10,
30,10000,1.17,0,20480,300,100,0.2,0.000002,100,0.5,0.005,0,10,
30,10000,1.17,1,20480,300,100,0.2,0.000002,50,0.5,0.005,0,10,
31,10000,1.20,0,20480,300,100,0.2,0.000002,100,0.5,0.005,0,10,
31,10000,1.20,1,20480,300,100,0.2,0.000002,50,0.5,0.005,0,10,
